Geography,Date,ASP,type
Albany,1/4/2015,1.22,Conventional
Atlanta,1/4/2015,1.00,Conventional
Baltimore/Washington,1/4/2015,1.08,Conventional
Boise,1/4/2015,1.01,Conventional
Boston,1/4/2015,1.02,Conventional
BuffaloRochester,1/4/2015,1.40,Conventional
California,1/4/2015,0.93,Conventional
Charlotte,1/4/2015,1.19,Conventional
Chicago,1/4/2015,1.11,Conventional
CincinnatiDayton,1/4/2015,0.88,Conventional
Columbus,1/4/2015,0.89,Conventional
DallasFtWorth,1/4/2015,0.74,Conventional
Denver,1/4/2015,0.99,Conventional
Detroit,1/4/2015,1.01,Conventional
GrandRapids,1/4/2015,0.95,Conventional
GreatLakes,1/4/2015,1.02,Conventional
HarrisburgScranton,1/4/2015,1.05,Conventional
HartfordSpringfield,1/4/2015,1.06,Conventional
Houston,1/4/2015,0.71,Conventional
Indianapolis,1/4/2015,1.02,Conventional
Jacksonville,1/4/2015,0.97,Conventional
LasVegas,1/4/2015,0.80,Conventional
LosAngeles,1/4/2015,0.85,Conventional
Louisville,1/4/2015,0.92,Conventional
MiamiFtLauderdale,1/4/2015,0.97,Conventional
Midsouth,1/4/2015,1.10,Conventional
Nashville,1/4/2015,1.00,Conventional
NewOrleansMobile,1/4/2015,0.94,Conventional
NewYork,1/4/2015,1.09,Conventional
Northeast,1/4/2015,1.09,Conventional
NorthernNewEngland,1/4/2015,1.05,Conventional
Orlando,1/4/2015,1.00,Conventional
Philadelphia,1/4/2015,1.10,Conventional
PhoenixTucson,1/4/2015,0.65,Conventional
Pittsburgh,1/4/2015,1.52,Conventional
Plains,1/4/2015,1.01,Conventional
Portland,1/4/2015,0.97,Conventional
RaleighGreensboro,1/4/2015,1.20,Conventional
RichmondNorfolk,1/4/2015,1.13,Conventional
Roanoke,1/4/2015,1.13,Conventional
Sacramento,1/4/2015,1.05,Conventional
SanDiego,1/4/2015,0.94,Conventional
SanFrancisco,1/4/2015,0.99,Conventional
Seattle,1/4/2015,0.97,Conventional
SouthCarolina,1/4/2015,1.01,Conventional
SouthCentral,1/4/2015,0.77,Conventional
Southeast,1/4/2015,0.98,Conventional
Spokane,1/4/2015,1.00,Conventional
StLouis,1/4/2015,1.15,Conventional
Syracuse,1/4/2015,1.33,Conventional
Tampa,1/4/2015,0.97,Conventional
TotalUS,1/4/2015,0.95,Conventional
West,1/4/2015,0.89,Conventional
WestTexNewMexico,1/4/2015,0.75,Conventional
Albany,1/4/2015,1.79,Organic
Atlanta,1/4/2015,1.76,Organic
Baltimore/Washington,1/4/2015,1.29,Organic
Boise,1/4/2015,1.64,Organic
Boston,1/4/2015,1.83,Organic
BuffaloRochester,1/4/2015,1.73,Organic
California,1/4/2015,1.24,Organic
Charlotte,1/4/2015,2.13,Organic
Chicago,1/4/2015,1.49,Organic
CincinnatiDayton,1/4/2015,1.34,Organic
Columbus,1/4/2015,1.44,Organic
DallasFtWorth,1/4/2015,1.35,Organic
Denver,1/4/2015,1.42,Organic
Detroit,1/4/2015,1.70,Organic
GrandRapids,1/4/2015,1.60,Organic
GreatLakes,1/4/2015,1.54,Organic
HarrisburgScranton,1/4/2015,1.68,Organic
HartfordSpringfield,1/4/2015,2.32,Organic
Houston,1/4/2015,1.22,Organic
Indianapolis,1/4/2015,1.63,Organic
